"date","day","temp","time","tank","day_tank","pot","treatment","stand_water","individual","line_length","deltaL","datetime","week","labels_datetime","Temperature","ccLabel"
"10/25/2019","D2",20,"10:30","tank1","D2_C1","CNW","control","no","Black",232,0,"10/25/2019 10:30","week1","tank1_control_no_10/25/2019 10:30",16.42026704,"tank1_control_no_Black"
"10/26/2019","D3",20,"10:30","tank4","D3_H1","HW","heating","yes","Black",225,0,"10/26/2019 10:30","week1","tank4_heating_yes_10/26/2019 10:30",16.03536374,"tank4_heating_yes_Black"
"10/26/2019","D3",20,"10:30","tank4","D3_H1","HNW","heating","no","Black",226,0,"10/26/2019 10:30","week1","tank4_heating_no_10/26/2019 10:30",16.40928607,"tank4_heating_no_Black"
"10/26/2019","D3",20,"10:30","tank3","D3_H2","HW","heating","yes","Black",223,0,"10/26/2019 10:30","week1","tank3_heating_yes_10/26/2019 10:30",16.32681598,"tank3_heating_yes_Black"
"10/26/2019","D3",20,"10:30","tank3","D3_H2","HNW","heating","no","Black",222,0,"10/26/2019 10:30","week1","tank3_heating_no_10/26/2019 10:30",16.30074883,"tank3_heating_no_Black"
"10/26/2019","D3",20,"10:30","tank2","D3_C2","CW","control","yes","Black",226,0,"10/26/2019 10:30","week1","tank2_control_yes_10/26/2019 10:30",16.81996719,"tank2_control_yes_Black"
"10/26/2019","D3",20,"10:30","tank2","D3_C2","CNW","control","no","Black",222,0,"10/26/2019 10:30","week1","tank2_control_no_10/26/2019 10:30",17.03677724,"tank2_control_no_Black"
"10/26/2019","D3",20,"10:30","tank1","D3_C1","CW","control","yes","Black",228,0,"10/26/2019 10:30","week1","tank1_control_yes_10/26/2019 10:30",16.83826984,"tank1_control_yes_Black"
"10/26/2019","D3",20,"10:30","tank1","D3_C1","CNW","control","no","Black",226,0,"10/26/2019 10:30","week1","tank1_control_no_10/26/2019 10:30",16.34348802,"tank1_control_no_Black"
"10/27/2019","D4",20,"10:30","tank4","D4_H1","HW","heating","yes","Black",226,0,"10/27/2019 10:30","week1","tank4_heating_yes_10/27/2019 10:30",16.05468106,"tank4_heating_yes_Black"
"10/27/2019","D4",20,"10:30","tank4","D4_H1","HNW","heating","no","Black",227,0,"10/27/2019 10:30","week1","tank4_heating_no_10/27/2019 10:30",16.33247306,"tank4_heating_no_Black"
"10/27/2019","D4",20,"10:30","tank3","D4_H2","HW","heating","yes","Black",223,0,"10/27/2019 10:30","week1","tank3_heating_yes_10/27/2019 10:30",16.27869651,"tank3_heating_yes_Black"
"10/27/2019","D4",20,"10:30","tank3","D4_H2","HNW","heating","no","Black",225,0,"10/27/2019 10:30","week1","tank3_heating_no_10/27/2019 10:30",16.21429918,"tank3_heating_no_Black"
"10/27/2019","D4",20,"10:30","tank2","D4_C2","CW","control","yes","Black",225,0,"10/27/2019 10:30","week1","tank2_control_yes_10/27/2019 10:30",16.78108896,"tank2_control_yes_Black"
"10/27/2019","D4",20,"10:30","tank2","D4_C2","CNW","control","no","Black",223,0,"10/27/2019 10:30","week1","tank2_control_no_10/27/2019 10:30",17.01749214,"tank2_control_no_Black"
"10/27/2019","D4",20,"10:30","tank1","D4_C1","CW","control","yes","Black",232,0,"10/27/2019 10:30","week1","tank1_control_yes_10/27/2019 10:30",16.7805712,"tank1_control_yes_Black"
"10/27/2019","D4",20,"10:30","tank1","D4_C1","CNW","control","no","Black",225,0,"10/27/2019 10:30","week1","tank1_control_no_10/27/2019 10:30",16.25711161,"tank1_control_no_Black"
"10/28/2019","D5",20,"10:30","tank4","D5_H1","HW","heating","yes","Black",224,0,"10/28/2019 10:30","week1","tank4_heating_yes_10/28/2019 10:30",16.06433971,"tank4_heating_yes_Black"
"10/28/2019","D5",20,"10:30","tank4","D5_H1","HNW","heating","no","Black",228,0,"10/28/2019 10:30","week1","tank4_heating_no_10/28/2019 10:30",16.27486329,"tank4_heating_no_Black"
